song_id,song_name,artist_name,album_name,date_added,track_path,play_count,duration,cloud_status,is_favorited,hash
5870,Total Eclipse of the Heart,Bonnie Tyler,Faster Than the Speed of Night,2020-11-20,/Users/alex/Music/Musica/Music/Bonnie Tyler/Faster Than the Speed of Night/Total Eclipse of the Heart.mp3,24,332,unknown,0,53eb47240f7a91553a73e38eaa13af5b3dbfabf3967ece68222521d6a2da3f56
10456,Drowning (feat. Kodak Black),A Boogie Wit Da Hoodie,Drowning,2024-02-07,/Users/alex/Music/Musica/Music/A Boogie Wit Da Hoodie/Drowning/01 Drowning (feat. Kodak Black).mp3,7,419,unknown,0,e877dcd4720ff265192c0f608fe5a1c6785fc89d9bd300de2ed4b2128dd39f65
5626,Non Ti Dico No (feat. Loredana Bertè),Boomdabash,Non Ti Dico No,2020-11-20,/Users/alex/Music/Musica/Music/Boomdabash/Non Ti Dico No/Non Ti Dico No (feat. Loredana Bertè).mp3,54,194,unknown,0,3c816b36fe668914f0d72483e7b3b2903cbcea32e6046ce0919315766c71171c
8726,Electric Love,BØRNS,Dopamine,2021-12-07,/Users/alex/Music/Musica/Music/BØRNS/Dopamine/Electric Love.mp3,42,221,unknown,1,0f36d39c13ff9e42d9a94489a618c624459737577d8b9e5768404d3d7c1f23a8
5872,More Than a Feeling,Boston,Boston,2020-11-20,/Users/alex/Music/Musica/Music/Boston/Boston/More Than a Feeling.mp3,42,214,unknown,1,7a79da5f27de25587960dc99566a156198d12f2374c68e2458d5272456998e8a
8816,Toxic,BoyWithUke,Faded,2022-01-23,/Users/alex/Music/Musica/Music/BoyWithUke/Faded/Toxic.mp3,18,169,unknown,0,d164b38ce9efa3636158df7853997733b942ca2ca8b65f2dbfb390db11a2fc5f
5406,Death Parade OP - デス・パレード Flyers,BRADIO,Death Parade Soundtrack,2020-11-20,/Users/alex/Music/Musica/Music/BRADIO/Death Parade Soundtrack/Death Parade OP - デス・パレード Flyers.mp3,64,79,unknown,1,4dae1487925c278e4d75bac8cd0173110d09a9899f4be782ab4554b4969cbb7e
7096,Dangerous Bitch (feat. Baby Russ),Brennan Story,,2020-11-20,/Users/alex/Music/Musica/Music/Brennan Story/Unknown Album/17 Dangerous Bitch (feat. Baby Russ).mp3,23,153,unknown,0,5103f7956fd26fe5e7151f2602b63cdd9f28b7565b82ce18f19b4018fae52c41
8012,Can You Feel My Heart,Bring Me the Horizon,Sempiternal,2021-03-26,/Users/alex/Music/Musica/Music/Bring Me the Horizon/Sempiternal/Can You Feel My Heart.mp3,21,227,unknown,0,2ad73e1d148441564385f3bb5db5335368a82f03ba83732bfa1dd90adf766006
9082,Gimme More,Britney Spears,Blackout,2022-08-08,/Users/alex/Music/Musica/Music/Britney Spears/Blackout/Gimme More.mp3,21,251,unknown,0,2b7cd4ab3247a4a3c9d01f701df866305b59afc6431f858614170b2fab6b6ccc
9850,Toxic,Britney Spears,In The Zone,2023-08-12,/Users/alex/Music/Musica/Music/Britney Spears/In The Zone/06 Toxic.mp3,6,423,unknown,0,cf8aa098b329db4ccea1a3e3a0bef84095878975418fb74cb4ddcdb52ef90cd2
